a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight,Activity_value
4,3,8,0.85684919,1.809,-3.5229499,2,350.439,1
6,5,11,0.80637032,3.0369999,-3.7873299,3,424.49698,1
3,2,3,0.91557628,0.82099998,-1.50266,2,229.3,1
5,4,10,0.80220884,3.01,-3.76408,3,424.49698,1
7,6,13,0.82488954,1.8559999,-2.2959299,2,405.495,1
3,2,4,0.928195,0.31099999,-1.07572,1,203.26199,1
3,3,5,1.0231686,0.579,-2.0630801,0,209.28999,1
8,6,14,0.87260562,0.76800001,-2.31972,2,456.47598,1
7,5,16,0.84734005,3.6700001,-5.3379998,3,548.64099,1
7,5,16,0.81934184,3.5039999,-4.4279599,3,530.60199,1
6,5,9,0.83503067,1.7869999,-2.3264699,2,348.39899,1
7,6,14,0.87772715,0.84399998,-2.80194,2,449.45999,1
7,5,13,0.87046558,1.232,-2.9211199,3,475.49799,1
8,7,18,0.86419588,0.91299999,-2.7714,2,506.556,1
7,6,9,0.89173383,0.63599998,-1.54184,2,384.36899,1
6,5,9,0.81926286,3.007,-4.20435,3,398.45898,1
6,5,7,0.87442333,2.2880001,-3.2224801,3,392.47598,1
